iter	Logloss
0	0.6839283015
1	0.6752913079
2	0.6663586883
3	0.6574684195
4	0.6497866053
5	0.6417805159
6	0.6343982722
7	0.6277041273
8	0.6222930701
9	0.6170981271
10	0.6095469987
11	0.6027151614
12	0.5953074345
13	0.5885602471
14	0.5821376982
15	0.5761737434
16	0.5707052841
17	0.5644254101
18	0.5577479771
19	0.5519890818
20	0.5467413039
21	0.5426752
22	0.5375186116
23	0.5336275685
24	0.5296490209
25	0.5250941685
26	0.520671559
27	0.5158052509
28	0.5109031833
29	0.5069043944
30	0.5033264679
31	0.49881843
32	0.4949072494
33	0.4921685044
34	0.487454369
35	0.4834988133
36	0.4798939504
37	0.477112024
38	0.4737905386
39	0.4706591652
40	0.4675285184
41	0.4635100073
42	0.4597954782
43	0.4570482734
44	0.4539230243
45	0.4507538672
46	0.4471718924
47	0.4446504035
48	0.4415934037
49	0.4387213259
50	0.4357017465
51	0.4329011619
52	0.4304409676
53	0.4279302221
54	0.4251085139
55	0.4231352514
56	0.4196348644
57	0.4173149835
58	0.4155102684
59	0.413516609
60	0.41131693
61	0.4087246746
62	0.4066470399
63	0.4043037778
64	0.4019592181
65	0.3996965577
66	0.397994009
67	0.3959575835
68	0.3940086365
69	0.3920282377
70	0.3899396261
71	0.3878552443
72	0.3864578455
73	0.3844617986
74	0.382502238
75	0.3810075513
76	0.3790488989
77	0.3778836516
78	0.3765481962
79	0.3750803422
80	0.3737741587
81	0.3725213291
82	0.3712043243
83	0.3700650533
84	0.3686286252
85	0.3675485209
86	0.3658093563
87	0.3645476257
88	0.3631262228
89	0.3617461328
90	0.3606019053
91	0.3597234609
92	0.3583700738
93	0.3566917368
94	0.3554216242
95	0.3540919557
96	0.3531360756
97	0.3519154763
98	0.350268098
99	0.3492114528
100	0.347815585
101	0.3464546463
102	0.3453606846
103	0.3439812433
104	0.3430087291
105	0.3420302203
106	0.3409294596
107	0.3395453213
108	0.3384433668
109	0.3377387897
110	0.3365803414
111	0.3352968125
112	0.3340825191
113	0.3327916982
114	0.3320146937
115	0.3309391048
116	0.3297778279
117	0.3289842151
118	0.327878991
119	0.326981525
120	0.3259829567
121	0.3251150741
122	0.3244998958
123	0.3232960604
124	0.3224469139
125	0.3215077199
126	0.3208819539
127	0.3202256183
128	0.3194298517
129	0.3188052015
130	0.318018803
131	0.3172113068
132	0.3164105578
133	0.3155013882
134	0.314616093
135	0.3138250753
136	0.313017138
137	0.3123605689
138	0.3117100203
139	0.3109758857
140	0.3102053688
141	0.309359544
142	0.3087983683
143	0.3080627545
144	0.3073133352
145	0.3066257814
146	0.3057504252
147	0.3049923384
148	0.304499464
149	0.3037264558
150	0.3034028034
151	0.3026654509
152	0.3019891856
153	0.3012701541
154	0.300620358
155	0.2997654506
156	0.2989818807
157	0.2983289965
158	0.297485144
159	0.296704195
160	0.2960430327
161	0.2950193444
162	0.2942552631
163	0.293828588
164	0.2932188592
165	0.2927750828
166	0.2922195902
167	0.2917182559
168	0.2911438715
169	0.2905126299
170	0.2897824138
171	0.2895480305
172	0.2889911626
173	0.2884088633
174	0.2876438478
175	0.2870634948
176	0.2866199519
177	0.2862122983
178	0.2857327364
179	0.2849898046
180	0.2843887952
181	0.2838586301
182	0.2833876058
183	0.2828714539
184	0.2825882062
185	0.2818401882
186	0.2813807896
187	0.2808544133
188	0.2805016446
189	0.2798906703
190	0.2795564561
191	0.2788935292
192	0.2784561365
193	0.2779333413
194	0.2774700762
195	0.2770089649
196	0.2764924757
197	0.2760575742
198	0.275525411
199	0.2749408021
200	0.274536548
201	0.2740069798
202	0.2734862866
203	0.2731180256
204	0.2725919607
205	0.2720609392
206	0.2714146465
207	0.2709480857
208	0.2704895954
209	0.269818572
210	0.2693831775
211	0.2688760044
212	0.268165796
213	0.2676550937
214	0.2673630487
215	0.2669498677
216	0.2665964762
217	0.2661967375
218	0.2655907715
219	0.265247864
220	0.2645757766
221	0.2641360225
222	0.2636485716
223	0.2632195609
224	0.2627704387
225	0.2625910701
226	0.2622339417
227	0.2617718963
228	0.2615038554
229	0.2611913876
230	0.2606729001
231	0.2604557998
232	0.2602083375
233	0.2598295147
234	0.2593793804
235	0.2590563508
236	0.2587079677
237	0.2584447277
238	0.2582072822
239	0.2578853945
240	0.2575093483
241	0.2571906524
242	0.2565772647
243	0.2562843894
244	0.2560603862
245	0.2558867785
246	0.2554856385
247	0.2550175466
248	0.2546299007
249	0.2541573972
250	0.2538993213
251	0.2537905116
252	0.2534297502
253	0.2531767346
254	0.2528145719
255	0.2525745573
256	0.2522588976
257	0.2519028592
258	0.2515067795
259	0.2509535965
260	0.2506489137
261	0.2502677554
262	0.2500139872
263	0.249564891
264	0.2491533967
265	0.2487171199
266	0.2481172523
267	0.2477133096
268	0.2473115986
269	0.2467390566
270	0.24644164
271	0.2461892472
272	0.245804352
273	0.2454168618
274	0.244964392
275	0.2445179946
276	0.2442412344
277	0.2438696258
278	0.2435421587
279	0.2432561602
280	0.2428899493
281	0.2426068053
282	0.2422412691
283	0.2419564902
284	0.2417850624
285	0.2412226411
286	0.2407806293
287	0.2403189211
288	0.2399893521
289	0.2396674902
290	0.2393461993
291	0.2388885394
292	0.2385458135
293	0.2380674453
294	0.2377333349
295	0.2374127965
296	0.2370468451
297	0.2368825796
298	0.2364531536
299	0.2359404791
300	0.2356442821
301	0.2353054228
302	0.2348668624
303	0.2345073466
304	0.2342479472
305	0.2339278241
306	0.2336430452
307	0.2333410873
308	0.2330059648
309	0.2327622654
310	0.2325383919
311	0.2323690401
312	0.2321344492
313	0.2318725586
314	0.231655562
315	0.2315011316
316	0.2312026251
317	0.2310361278
318	0.230836518
319	0.2304522196
320	0.2299222622
321	0.2295910842
322	0.229247476
323	0.228830636
324	0.228475402
325	0.2281652957
326	0.2279024449
327	0.2275653761
328	0.2272033691
329	0.2267498613
330	0.2266949764
331	0.2262573761
332	0.2260587524
333	0.2257732469
334	0.2255455328
335	0.2252268889
336	0.2249848243
337	0.224675704
338	0.2244311482
339	0.2240621346
340	0.2237265451
341	0.2234484874
342	0.2232364992
343	0.2230158177
344	0.2227076576
345	0.2225278478
346	0.2223415764
347	0.2221055323
348	0.2217559295
349	0.221549858
350	0.2211824274
351	0.2208818968
352	0.2206162952
353	0.2203909167
354	0.2201076689
355	0.2197661367
356	0.219586846
357	0.2191620133
358	0.2189303028
359	0.2187116973
360	0.2182910426
361	0.2180399992
362	0.2177808593
363	0.2174444393
364	0.2171026995
365	0.2167720665
366	0.2163859127
367	0.2162547728
368	0.2159305235
369	0.2156023298
370	0.2153543226
371	0.2151385846
372	0.2148662489
373	0.2146272075
374	0.2143007784
375	0.2140487619
376	0.2138891934
377	0.2137273023
378	0.2132914537
379	0.2130207659
380	0.2127340927
381	0.2122976731
382	0.2119123628
383	0.2114986108
384	0.2112627484
385	0.2109214627
386	0.2106845622
387	0.2102951647
388	0.2101469494
389	0.2099863299
