iter	Passed	Remaining
527	4691	4194
528	4697	4182
529	4704	4172
530	4710	4160
531	4717	4150
532	4725	4140
533	4735	4132
534	4741	4121
535	4749	4111
536	4755	4100
537	4763	4090
538	4769	4079
539	4775	4068
540	4782	4057
541	4788	4046
542	4796	4036
543	4803	4026
544	4812	4017
545	4817	4005
546	4824	3995
547	4832	3985
548	4841	3977
549	4848	3967
550	4855	3956
551	4864	3947
552	4869	3936
553	4876	3926
554	4883	3915
555	4890	3905
556	4897	3895
557	4908	3888
558	4916	3878
559	4930	3873
560	4940	3866
561	4948	3856
562	4958	3848
563	4966	3839
564	4973	3828
565	4985	3823
566	4992	3812
567	5000	3803
568	5009	3794
569	5020	3787
570	5027	3777
571	5037	3769
572	5043	3758
573	5052	3749
574	5058	3739
575	5067	3729
576	5073	3719
577	5081	3710
578	5088	3699
579	5095	3689
580	5102	3679
581	5108	3669
582	5116	3659
583	5124	3650
584	5131	3640
585	5138	3630
586	5147	3621
587	5153	3611
588	5162	3602
589	5167	3591
590	5175	3581
591	5183	3572
592	5189	3562
593	5196	3551
594	5202	3540
595	5208	3530
596	5214	3520
597	5220	3509
598	5226	3499
599	5234	3489
600	5241	3480
601	5246	3468
602	5255	3460
603	5261	3449
604	5267	3439
605	5273	3428
606	5279	3418
607	5286	3408
608	5293	3398
609	5300	3388
610	5309	3380
611	5318	3371
612	5326	3362
613	5333	3352
614	5345	3346
615	5352	3336
616	5359	3326
617	5371	3320
618	5382	3312
619	5393	3305
620	5404	3298
621	5410	3288
622	5419	3279
623	5426	3270
624	5434	3260
625	5443	3252
626	5450	3242
627	5459	3233
628	5468	3225
629	5478	3217
630	5484	3207
631	5491	3197
632	5499	3188
633	5506	3179
634	5516	3170
635	5539	3170
636	5545	3160
637	5551	3149
638	5559	3140
639	5565	3130
640	5571	3120
641	5576	3109
642	5582	3099
643	5590	3090
644	5596	3080
645	5601	3069
646	5607	3059
647	5613	3049
648	5621	3040
649	5626	3029
650	5631	3019
651	5637	3009
652	5643	2998
653	5648	2988
654	5655	2978
655	5662	2969
656	5671	2960
657	5676	2950
658	5682	2940
659	5687	2930
660	5694	2920
661	5702	2911
662	5708	2901
663	5717	2893
664	5724	2883
665	5733	2875
666	5739	2865
667	5749	2857
668	5758	2849
669	5765	2839
670	5771	2829
671	5779	2820
672	5785	2811
673	5791	2801
674	5797	2791
675	5806	2783
676	5818	2776
677	5832	2770
678	5839	2760
679	5846	2751
680	5854	2742
681	5861	2733
682	5869	2724
683	5876	2714
684	5882	2705
685	5893	2697
686	5899	2687
687	5907	2678
688	5912	2668
689	5917	2658
690	5924	2649
691	5929	2639
692	5934	2628
693	5940	2619
694	5946	2609
695	5955	2601
696	5960	2591
697	5966	2581
698	5971	2571
699	5977	2561
700	5983	2552
701	5989	2542
702	5994	2532
703	6003	2524
704	6011	2515
705	6018	2506
706	6025	2497
707	6031	2487
708	6037	2477
709	6043	2468
710	6049	2458
711	6054	2449
712	6061	2440
713	6067	2430
714	6076	2422
715	6082	2412
716	6087	2402
717	6097	2394
718	6104	2385
719	6110	2376
720	6117	2367
721	6125	2358
722	6133	2349
723	6143	2341
724	6150	2333
725	6159	2324
726	6166	2315
727	6173	2306
728	6180	2297
729	6188	2288
730	6198	2280
731	6208	2272
732	6215	2263
733	6221	2254
734	6228	2245
735	6236	2236
736	6242	2227
737	6250	2218
738	6256	2209
739	6263	2200
740	6270	2191
741	6281	2183
742	6288	2175
743	6298	2167
744	6304	2158
745	6311	2149
746	6318	2139
747	6324	2130
748	6330	2121
749	6337	2112
750	6346	2104
751	6355	2096
752	6363	2087
753	6371	2078
754	6378	2069
755	6384	2060
756	6392	2052
757	6398	2042
758	6405	2033
759	6411	2024
760	6418	2015
761	6425	2006
762	6431	1997
763	6440	1989
764	6446	1980
765	6454	1971
766	6462	1963
767	6480	1957
768	6504	1953
769	6520	1947
770	6529	1939
771	6542	1932
772	6549	1923
773	6558	1914
774	6571	1907
775	6591	1902
776	6606	1895
777	6621	1889
778	6652	1887
779	6661	1878
780	6680	1873
781	6691	1865
782	6702	1857
783	6710	1848
784	6719	1840
785	6727	1831
786	6739	1823
787	6751	1816
788	6761	1808
789	6774	1800
790	6788	1793
791	6800	1786
792	6814	1778
793	6828	1771
794	6844	1765
795	6854	1756
796	6871	1750
797	6886	1743
798	6896	1734
799	6903	1725
800	6910	1716
801	6917	1707
802	6924	1698
803	6931	1689
804	6940	1681
805	6946	1671
806	6955	1663
807	6964	1654
808	6974	1646
809	6984	1638
810	6991	1629
811	7002	1621
812	7009	1612
813	7017	1603
814	7024	1594
815	7032	1585
816	7042	1577
817	7051	1568
818	7068	1562
819	7145	1568
820	7161	1561
821	7170	1552
822	7183	1544
823	7218	1541
824	7230	1533
825	7239	1525
826	7269	1520
827	7284	1513
828	7298	1505
829	7310	1497
830	7329	1490
831	7338	1481
832	7354	1474
833	7363	1465
834	7373	1457
835	7382	1448
836	7392	1439
837	7403	1431
838	7413	1422
839	7422	1413
840	7431	1404
841	7438	1395
842	7452	1388
843	7460	1379
844	7472	1370
845	7493	1364
846	7511	1356
847	7525	1348
848	7536	1340
849	7551	1332
850	7561	1323
851	7572	1315
852	7582	1306
853	7589	1297
854	7602	1289
855	7611	1280
856	7618	1271
857	7626	1262
858	7632	1252
859	7641	1244
860	7649	1235
861	7664	1227
862	7675	1218
863	7682	1209
864	7691	1200
865	7700	1191
866	7708	1182
867	7715	1173
868	7724	1164
869	7732	1155
870	7740	1146
871	7747	1137
872	7755	1128
873	7765	1119
874	7772	1110
875	7779	1101
876	7788	1092
877	7796	1083
878	7804	1074
879	7811	1065
880	7818	1056
881	7825	1046
882	7833	1037
883	7841	1028
884	7850	1020
885	7857	1010
886	7866	1002
887	7872	992
888	7880	983
889	7887	974
890	7899	966
891	7906	957
892	7915	948
893	7922	939
894	7942	931
895	7950	922
896	7962	914
897	7978	906
898	7990	897
899	8014	890
900	8030	882
901	8042	873
902	8054	865
903	8063	856
904	8074	847
905	8090	839
906	8103	830
907	8112	821
908	8128	813
909	8143	805
910	8157	796
911	8163	787
912	8172	778
913	8189	770
914	8202	761
915	8209	752
916	8220	744
917	8239	736
918	8251	727
919	8266	718
920	8276	709
921	8291	701
922	8300	692
923	8309	683
924	8319	674
925	8332	665
926	8345	657
927	8366	649
928	8380	640
929	8390	631
930	8398	622
931	8407	613
932	8414	604
933	8424	595
934	8434	586
935	8444	577
936	8454	568
937	8460	559
938	8470	550
939	8479	541
940	8490	532
941	8496	523
942	8507	514
943	8523	505
944	8536	496
945	8545	487
946	8554	478
947	8560	469
948	8569	460
949	8578	451
950	8592	442
951	8603	433
952	8622	425
953	8635	416
954	8645	407
955	8655	398
956	8665	389
957	8672	380
958	8681	371
959	8688	362
960	8699	353
961	8706	343
962	8719	335
963	8731	326
964	8737	316
965	8745	307
966	8750	298
967	8756	289
968	8761	280
969	8767	271
970	8775	262
971	8781	252
972	8788	243
973	8794	234
974	8800	225
975	8809	216
976	8815	207
977	8824	198
978	8831	189
979	8841	180
980	8853	171
981	8863	162
982	8874	153
983	8886	144
984	8892	135
985	8899	126
986	8912	117
987	8925	108
988	8939	99
989	8950	90
990	8961	81
991	8969	72
992	8981	63
993	8988	54
994	8996	45
995	9002	36
996	9012	27
997	9018	18
998	9027	9
999	9034	0
